X,Y,Z,Type
749747.7789,2306794.747,1077.4,Divide
745091.6595,2310174.602,313.25,Divide
745337.2885,2310428.973,380.08,Divide
747783.7533,2305566.602,306.37,Divide
747998.8237,2305851.532,422.35,Divide
748255.361,2306094.995,494.56,Divide
748625.4676,2306224.888,623.79,Divide
748997.7405,2306293.664,792.6,Divide
749267.3525,2306524.052,865.63,Divide
749493.3312,2306798.073,980.65,Divide
749768.4357,2307022.969,1114.1,Divide
745356.9388,2315303.336,544.67,Divide
745710.6446,2315157.042,610.73,Divide
746054.5252,2315000.922,680.85,Divide
746418.0561,2314884.103,750.71,Divide
752607.9069,2321375.285,527.29,Divide
752431.054,2321091.438,561.35,Divide
752372.1031,2320670.04,604.21,Divide
752300.0775,2320314.167,625.88,Divide
752372.1031,2319925.494,660.3,Divide
749159.2757,2304397.408,252.42,Divide
749413.6467,2304643.037,350.17,Divide
749805.57,2304751.114,511.37,Divide
750138.5423,2304918.142,607.03,Divide
750397.2459,2305159.438,687.56,Divide
750662.5252,2305394.159,819.54,Divide
746722.6361,2323517.17,248.43,Divide
746771.7619,2323144.897,265.17,Divide
746928.9644,2322802.099,298.49,Divide
747037.0412,2322410.176,335.02,Divide
747297.9879,2322171.123,350.96,Divide
747355.8557,2321787.941,378.94,Divide
747528.2992,2321519.336,420.27,Divide
747518.474,2321107.762,473.97,Divide
747587.2501,2320715.839,503.09,Divide
747724.8024,2320412.342,501.11,Divide
747792.5721,2320078.364,535.9,Divide
748029.3823,2319815.174,581.78,Divide
748206.2352,2319492.027,627.12,Divide
748009.732,2314733.477,1045.9,Divide
748314.312,2314538.057,1094.7,Divide
748597.0753,2314320.82,1162,Divide
748979.1734,2314202.918,1226.1,Divide
755241.0498,2303002.236,701.89,Divide
755123.1479,2303286.082,726.39,Divide
754887.344,2303550.278,792.39,Divide
754674.44,2303837.374,837.64,Divide
754498.6703,2304161.604,888.57,Divide
755368.7769,2315696.342,871.26,Divide
755231.2246,2315392.845,902.71,Divide
755162.4485,2319587.106,517.78,Divide
754917.9027,2319331.651,524.66,Divide
754594.7555,2319410.253,565.01,Divide
754458.2865,2319105.673,630.1,Divide
754125.3142,2318938.645,745.56,Divide
755604.5807,2305822.056,1010.3,Divide
751497.6638,2320255.216,664.08,Divide
745531.6254,2309270.688,257.55,Divide
745907.1478,2309355.865,331.1,Divide
746335.1222,2309427.89,422.36,Divide
746668.0945,2309594.918,577.17,Divide
747030.5422,2309732.47,752.82,Divide
747442.1158,2309820.897,908.75,Divide
747853.6893,2309850.372,1042.2,Divide
748216.0604,2309712.743,1137.1,Divide
748588.41,2309585.093,1236.4,Divide
748952.9474,2309469.28,1288.9,Divide
748726.9687,2307374.432,991.36,Divide
749159.2757,2307422.474,1097.9,Divide
749550.1158,2307531.634,1226.2,Divide
757098.005,2307472.683,621.81,Divide
756676.6063,2307453.033,734.1,Divide
756351.2929,2307297.997,914.16,Divide
755977.9368,2307210.653,1027.3,Divide
755579.4379,2307168.103,1157.8,Divide
755158.0391,2307168.103,1226.5,Divide
754766.1159,2307177.929,1310.2,Divide
756616.5722,2301941.118,463.92,Divide
756508.4954,2302333.041,522.92,Divide
756321.8174,2302626.713,578.99,Divide
756125.3142,2302871.259,618.87,Divide
756302.1671,2318408.086,430.82,Divide
755929.8941,2318417.912,484.41,Divide
755506.3291,2318361.127,552.72,Divide
755162.4485,2318244.308,658.01,Divide
754881.8515,2318182.108,706.79,Divide
754582.7641,2318158.048,779.65,Divide
754294.5082,2317946.304,700.01,Divide
753963.779,2317973.536,735.31,Divide
753775.9411,2317681.025,772.45,Divide
756135.1393,2315254.21,660.61,Divide
755732.3078,2315272.777,769.11,Divide
755309.8259,2315315.327,900.7,Divide
758345.8003,2303365.766,221.83,Divide
757914.5765,2303375.592,305.71,Divide
757503.0029,2303326.466,441.11,Divide
757081.6042,2303287.165,510.54,Divide
756728.9816,2303414.892,574.6,Divide
756405.8345,2303513.144,648.3,Divide
756013.9112,2303581.92,729.82,Divide
755909.1607,2303918.218,736.57,Divide
755642.7215,2304151.779,807.05,Divide
755339.2247,2304348.282,881.45,Divide
742998.9004,2319410.253,153.99,Divide
743272.9217,2319184.274,172.76,Divide
743556.7682,2318987.771,203.68,Divide
743948.6915,2318899.344,239.16,Divide
744291.4889,2318742.142,265.32,Divide
744644.1115,2318712.666,295.87,Divide
744983.5827,2318571.788,340.05,Divide
745356.9388,2318445.144,395.11,Divide
745641.8685,2318230.074,439.04,Divide
745926.8748,2318015.08,491,Divide
746192.0774,2317780.283,538.48,Divide
746524.0433,2317631.899,576.61,Divide
746857.0155,2317464.871,656.34,Divide
747160.5123,2317268.368,712.26,Divide
747522.9601,2317130.816,805.58,Divide
746378.7555,2317062.039,635.5,Divide
746673.5103,2316856.794,686.71,Divide
747084.0007,2316826.236,754.1,Divide
747485.7491,2316747.634,791.22,Divide
743185.5785,2315087.182,218.43,Divide
743577.5017,2315175.609,274.54,Divide
744028.3759,2315205.084,326.03,Divide
744410.474,2315205.084,377.3,Divide
744718.3034,2315023.899,426.38,Divide
745150.6105,2314984.521,511.37,Divide
745596.0689,2314949.63,593.09,Divide
745985.7491,2314898.261,668.19,Divide
746360.265,2314812.078,740.57,Divide
746673.5103,2307708.487,281.55,Divide
747017.3909,2307864.607,400.98,Divide
747349.28,2308032.717,496.98,Divide
747682.2523,2308199.745,599.76,Divide
748054.5252,2308327.472,710.5,Divide
748363.4378,2308518.56,863.78,Divide
748622.2181,2308759.779,1103.1,Divide
748906.0646,2308975.933,1230.7,Divide
749209.5614,2309172.436,1325.5,Divide
747204.0689,2319655.882,566.99,Divide
747154.9431,2319303.259,596.57,Divide
747321.9708,2318970.287,599.87,Divide
748776.0945,2320166.79,641.89,Divide
748912.5636,2319803.259,722.37,Divide
753393.9197,2304574.261,972.22,Divide
753590.4229,2304877.758,1028.5,Divide
753804.4101,2305104.82,1062.4,Divide
754039.1308,2305370.099,1070.5,Divide
746575.2587,2313387.43,797.2,Divide
747016.3077,2313328.479,867.68,Divide
747418.0561,2313289.178,944.8,Divide
747790.329,2313318.654,1028.3,Divide
748231.3781,2313338.304,1123.7,Divide
748633.1265,2313240.052,1200.8,Divide
748985.7491,2313092.675,1271.1,Divide
749377.6723,2313063.199,1345,Divide
749779.4207,2313004.248,1406.2,Divide
750200.8194,2312984.598,1514.3,Divide
745425.7149,2310597.084,416.98,Divide
745670.2608,2310852.538,489.89,Divide
745904.9815,2311117.818,579.13,Divide
746051.2757,2311471.523,758.02,Divide
756105.6639,2303110.312,641.98,Divide
755841.4677,2303346.116,677.55,Divide
755606.747,2303611.395,736.4,Divide
747773.9282,2317071.865,851.2,Divide
757530.3121,2312434.389,488.3,Divide
757196.2566,2312268.445,561.4,Divide
756864.3675,2312100.334,675.84,Divide
754405.9112,2304456.359,941.4,Divide
754307.6596,2304838.457,986.54,Divide
754199.5828,2305191.08,1054.9,Divide
746604.7341,2314762.952,786.69,Divide
746968.2651,2314626.483,853.33,Divide
747398.4058,2314556.624,927.48,Divide
747701.9026,2314360.12,994.41,Divide
748084.0007,2314301.17,1074.1,Divide
748446.4484,2314202.918,1140.1,Divide
748867.8471,2314143.967,1211.5,Divide
755211.5743,2315303.336,942.99,Divide
754975.7705,2315039.14,919.84,Divide
754820.7342,2314694.176,901.65,Divide
754753.0413,2314281.519,1068.3,Divide
753865.5274,2318820.743,733.73,Divide
753767.2758,2318517.246,743.17,Divide
753600.2481,2318203.924,749.06,Divide
753436.4698,2317867.703,837.29,Divide
753472.521,2317567.455,902.85,Divide
749129.8003,2309398.415,1346.1,Divide
749788.086,2307040.376,1118.1,Divide
750004.2395,2307324.223,1209.7,Divide
757609.9965,2306332.965,380.82,Divide
757227.8984,2306215.063,561.9,Divide
756826.15,2306274.014,679.16,Divide
756414.5765,2306283.839,755.09,Divide
756003.0029,2306313.314,913.19,Divide
755601.2545,2306372.265,1041.6,Divide
755248.6319,2306519.643,1126.3,Divide
754974.6106,2306745.621,1219,Divide
752372.1031,2319744.308,680.67,Divide
752372.1031,2319342.56,687.36,Divide
752276.0178,2319017.246,706.09,Divide
752165.7747,2318627.489,765.55,Divide
752136.2992,2318235.566,818.11,Divide
751945.2118,2317926.654,824.26,Divide
