IX,width_m,length_m
13,561.461,4031.302
14,458.726,8081.52
14,494.189,8081.52
14,1317.066,8081.52
14,1295.993,8081.52
14,1200.13,8081.52
14,1116.871,8081.52
14,1411.896,8081.52
14,1413.725,8081.52
14,1401.359,8081.52
14,1384.944,8081.52
14,1434.551,8081.52
14,1369.751,8081.52
14,1464.579,8081.52
14,1464.579,8081.52
14,1633.165,8081.52
14,1596.7,8081.52
14,1517.263,8081.52
14,1485.653,8081.52
14,775.916,8081.52
14,732.244,8081.52
14,699.715,8081.52
14,677.975,8081.52
14,879.684,8081.52
14,883.092,8081.52
14,930.705,8081.52
14,885.065,8081.52
14,842.921,8081.52
14,835.892,8081.52
14,788.073,8081.52
14,821.847,8081.52
14,1085.261,8081.52
14,1032.578,8081.52
14,916.677,8081.52
14,885.067,8081.52
14,1822.829,8081.52
14,1580.488,8081.52
14,1580.488,8081.52
14,1548.963,8081.52
14,1664.781,8081.52
14,1801.988,8081.52
14,1770.146,8081.52
14,1797.14,8081.52
14,1180.099,8081.52
14,1224.279,8081.52
14,1442.08,8081.52
14,1559.415,8081.52
14,1211.708,8081.52
14,1148.489,8081.52
14,1148.489,8081.52
14,1591.02,8081.52
14,1527.8,8081.52
14,1432.971,8081.52
14,1485.653,8081.52
14,1475.119,8081.52
14,1506.728,8081.52
14,1531.244,8081.52
14,1574.601,8081.52
14,1412.085,8081.52
14,1359.217,8081.52
14,1443.51,8081.52
14,1443.51,8081.52
14,1517.268,8081.52
14,1488.96,8081.52
14,1559.413,8081.52
14,1548.876,8081.52
14,516.285,8081.52
14,415.797,8081.52
14,463.603,8081.52
14,463.603,8081.52
14,840.688,8081.52
14,727.014,8081.52
14,684.9,8081.52
14,629.113,8081.52
14,863.989,8081.52
14,916.671,8081.52
14,948.28,8081.52
14,923.951,8081.52
14,663.797,8081.52
14,615.776,8081.52
14,678.015,8081.52
14,760.822,8081.52
15,624.31,2787.295
15,647.926,2787.295
15,693.326,2787.295
15,684.6,2787.295
15,478.899,2787.295
15,523.498,2787.295
15,604.772,2787.295
15,621.018,2787.295
15,550.127,2787.295
15,494.789,2787.295
15,464.552,2787.295
15,437.988,2787.295
15,451.35,2787.295
15,574.578,2787.295
15,635.703,2787.295
15,379.963,2787.295
15,759.185,2787.295
15,544.263,2787.295
15,576.655,2787.295
15,461.799,2787.295
15,696.824,2787.295
15,676.207,2787.295
15,626.728,2787.295
15,709.048,2787.295
15,709.648,2787.295
15,733.5,2787.295
15,696.824,2787.295
15,678.043,2787.295
16,851.293,3920.734
16,815.322,3920.734
16,736.209,3920.734
16,743.382,3920.734
16,1078.634,3920.734
16,1025.214,3920.734
16,1016.252,3920.734
16,947.213,3920.734
16,671.445,3920.734
16,671.444,3920.734
16,741.309,3920.734
16,893.798,3920.734
16,605.316,3920.734
16,659.455,3920.734
16,683.435,3920.734
16,753.326,3920.734
16,719.398,3920.734
16,848.28,3920.734
16,804.688,3920.734
16,803.329,3920.734
16,756.637,3920.734
16,791.339,3920.734
16,791.338,3920.734
16,995.17,3920.734
16,902.122,3920.734
16,922.271,3920.734
16,883.095,3920.734
16,899.252,3920.734
16,961.166,3920.734
16,1095.751,3920.734
16,1067.111,3920.734
16,187.994,3920.734
16,599.784,3920.734
16,563.527,3920.734
16,464.509,3920.734
16,479.387,3920.734
16,821.809,3920.734
16,791.073,3920.734
16,736.203,3920.734
16,649.846,3920.734
17,1187.42,4063.184
17,1298.078,4063.184
17,1304.255,4063.184
17,1246.31,4063.184
17,879.784,4063.184
17,821.903,4063.184
17,916.378,4063.184
17,1095.761,4063.184
17,927.677,4063.184
17,949.243,4063.184
17,960.027,4063.184
17,974.866,4063.184
17,463.839,4063.184
17,439.894,4063.184
17,815.753,4063.184
17,926.077,4063.184
17,879.773,4063.184
17,868.197,4063.184
17,879.772,4063.184
17,1238.631,4063.184
17,1173.241,4063.184
17,1053.414,4063.184
17,946.129,4063.184
17,1348.11,4063.184
17,1201.844,4063.184
17,1168.86,4063.184
17,1261.784,4063.184
17,1173.309,4063.184
17,1146.029,4063.184
17,1171.902,4063.184
17,1261.788,4063.184
17,428.309,4063.184
